Kabupaten,Populasi_Terdampak
Murungraya,0.0
Barito Utara,0.18349413728597117
Kotawaringin Barat,0.7932645123963262
Barito Timur,1.017072632908821
Lamandau,4.1290582194924355
Sukamara,15.995221249525454
Katingan,51.96228374913335
Barito Selatan,116.57450971758246
Gunungmas,169.7106448820409
Seruyan,172.85373339150468
Pulangpisau,574.425924644561
Kapuas,711.5609755866377
Kota Palangkaraya,737.39783052282
Kotawaringin Timur,920.8062261788724
