longitude,latitude,Aerosol_Index,Temperature_2m,Wind_U,NO2_Density,HCHO_Density,Actual_PM25
111.93233018950268,-2.4456633610153973,-0.5930152873011773,28.171132824744745,-1.3318429802670892,4.6172103211253825e-05,0.0001123270740474511,22.744772555169526
113.76040179268591,-2.6927000641482657,-0.49409844652020163,28.19206863685889,-0.9032526060386937,4.8164397039153286e-05,0.00014937462214150736,26.93715606187547
112.47581093639499,-1.0622578234713342,-0.7416405721878248,27.03801590248389,-0.7499390752227215,4.45014254583593e-05,0.00012060234076573667,11.447704266604077
111.53707146449008,-2.4456633610153973,-0.5653310261133432,27.791376603679907,-1.1504005311447898,4.689890050004401e-05,0.00012567702432953164,19.33651005756417
113.85921647393906,-1.2598871859776288,-0.10117442027979985,28.275911350014724,-0.04067213005489774,5.239631768125953e-05,0.00015289768048720427,41.61964071208515
114.40269722083136,-2.34684867976225,-0.5280796064074841,28.889717050246247,-0.48088781774779893,4.856219078580311e-05,0.0001955093442259089,27.440437388612796
113.9580311551922,-3.137366129787429,-0.20901248250121884,27.716331995269456,-1.2363455663492653,6.075904937325116e-05,0.00017346039138745192,46.8964156180713
111.33944210198379,-1.704553251616792,-0.6439751631116847,27.201538881843533,-0.9526315544858391,4.638248368734135e-05,0.00013967949716870361,18.367575922095337
112.47581093639499,-1.852775273496513,-0.5240617151132383,28.154259994883603,-0.6761596276436324,4.906455597709584e-05,0.00015133949512554162,28.007636446741927
113.76040179268591,0.32114771407272896,-0.636658295320556,25.269081440678406,-0.1358606005892342,4.030178320438727e-05,7.76742468022667e-05,19.190760720283958
114.55091924271109,-0.27174037344615526,-0.7351533617171493,27.478954969806466,-0.007368786835376132,4.758134466390251e-05,0.0001225028147797706,10.312245914415728
113.9580311551922,-1.6551459109902185,-0.19399878970085,28.44019689206732,-0.16587256649394092,5.0348446319417405e-05,0.00017791773396211072,37.40567459669665
114.35328988020478,-3.0385514485342813,-0.5774490594671843,28.17905081760739,-0.9343579301127684,5.259057621391921e-05,0.00016225866684423755,24.866859072403276
115.04499264897682,-0.617591757832171,-0.6179876256860466,27.558596052946882,-0.05207816906917242,4.844163770811865e-05,0.00015047828586211724,23.142091746762286
114.84736328647053,-1.852775273496513,-0.41212026374833866,28.72808390016911,-0.08549227979448105,5.2805292124918764e-05,0.00017905743306456784,31.31132839884074
113.11810636454045,-1.556331229737071,-0.42276482496557527,28.50758573273083,-0.2078850990460243,5.033640084072346e-05,0.00013315814673480606,29.892869225233472
111.19122008010407,-1.556331229737071,-0.5092458110975148,27.307001603679964,-0.9312458906644655,4.7524328941325886e-05,0.00014223444212921706,30.82068366702553
112.87106966140757,-2.34684867976225,0.015135032033019127,28.312243091912876,-0.8842005950433235,5.875283731530773e-05,0.00020710519508963942,53.43998071620038
114.40269722083136,0.07411101093986053,-0.6377721047508815,25.255870720192263,-0.05456478654602428,4.5848982210562245e-05,9.950639583784951e-05,13.93216738780254
112.92047700203415,-0.9634431422181868,-0.6775455293521019,27.282509175053406,0.07772853786562697,4.688767235329837e-05,0.00013500330789912993,14.011646082728198
113.66158711143275,-2.000997295376234,-0.4938912279160582,28.509180181997806,-0.37342073152094707,4.71768548139742e-05,0.00018740908034323592,23.159080712388587
114.74854860521738,0.17292569219300788,-0.593931707412861,25.74635224989902,0.05878126621246337,4.683773355677014e-05,0.00011805747043383494,18.314147973271393
113.61217977080618,-0.4199623953258763,-0.9003639824659322,25.381018410200056,-0.1483464344048206,4.28777432179946e-05,9.729218565899625e-05,6.903417447030655
112.87106966140757,-2.297441339135676,-0.027389562678886255,28.312243091912876,-0.8842005950433235,5.7441204098200886e-05,0.00020017470398446205,51.133381335514734
111.8829228488761,-0.9140358015916131,-0.6515417240335112,26.43276718045462,-0.9171151217119193,4.783781355011558e-05,0.00010760295961955553,18.8741435585057
